id,question_number,title,title_slug,difficulty,topics,url,active,notes,source
find-first-and-last-position-of-element-in-sorted-array,34,在排序数组中查找元素的第一个和最后一个位置,find-first-and-last-position-of-element-in-sorted-array,MEDIUM,"Array,Binary Search",https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/,true,,leetcode-hot100
search-in-rotated-sorted-array,33,搜索旋转排序数组,search-in-rotated-sorted-array,MEDIUM,"Array,Binary Search",https://leetcode.cn/problems/search-in-rotated-sorted-array/,true,,leetcode-hot100
find-minimum-in-rotated-sorted-array,153,寻找旋转排序数组中的最小值,find-minimum-in-rotated-sorted-array,MEDIUM,"Array,Binary Search",https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array/,true,,leetcode-hot100
median-of-two-sorted-arrays,4,寻找两个正序数组的中位数,median-of-two-sorted-arrays,HARD,"Array,Binary Search,Divide and Conquer",https://leetcode.cn/problems/median-of-two-sorted-arrays/,true,,leetcode-hot100
valid-parentheses,20,有效的括号,valid-parentheses,EASY,"Stack,String,括号序列",https://leetcode.cn/problems/valid-parentheses/,true,,leetcode-hot100
min-stack,155,最小栈,min-stack,MEDIUM,"Stack,Design",https://leetcode.cn/problems/min-stack/,true,,leetcode-hot100
decode-string,394,字符串解码,decode-string,MEDIUM,"Stack,Recursion,String",https://leetcode.cn/problems/decode-string/,true,,leetcode-hot100
daily-temperatures,739,每日温度,daily-temperatures,MEDIUM,"Stack,Array,Monotonic Stack",https://leetcode.cn/problems/daily-temperatures/,true,,leetcode-hot100
largest-rectangle-in-histogram,84,柱状图中最大的矩形,largest-rectangle-in-histogram,HARD,"Stack,Array,Monotonic Stack,区间最值查询",https://leetcode.cn/problems/largest-rectangle-in-histogram/,true,,leetcode-hot100
kth-largest-element-in-an-array,215,数组中的第K个最大元素,kth-largest-element-in-an-array,MEDIUM,"Array,Divide and Conquer,Quickselect,Sorting,Heap (Priority Queue)",https://leetcode.cn/problems/kth-largest-element-in-an-array/,true,,leetcode-hot100
top-k-frequent-elements,347,前 K 个高频元素,top-k-frequent-elements,MEDIUM,"Array,Hash Table,Divide and Conquer,Bucket Sort,Counting,Quickselect,Sorting,Heap (Priority Queue)",https://leetcode.cn/problems/top-k-frequent-elements/,true,,leetcode-hot100
find-median-from-data-stream,295,数据流的中位数,find-median-from-data-stream,HARD,"Design,Two Pointers,Data Stream,Sorting,Heap (Priority Queue)",https://leetcode.cn/problems/find-median-from-data-stream/,true,,leetcode-hot100
best-time-to-buy-and-sell-stock,121,买卖股票的最佳时机,best-time-to-buy-and-sell-stock,EASY,"Array,Dynamic Programming",https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/,true,,leetcode-hot100
jump-game,55,跳跃游戏,jump-game,MEDIUM,"Greedy,Array,Dynamic Programming",https://leetcode.cn/problems/jump-game/,true,,leetcode-hot100
jump-game-ii,45,跳跃游戏 II,jump-game-ii,MEDIUM,"Greedy,Array,Dynamic Programming",https://leetcode.cn/problems/jump-game-ii/,true,,leetcode-hot100
partition-labels,763,划分字母区间,partition-labels,MEDIUM,"Greedy,Hash Table,Two Pointers,String",https://leetcode.cn/problems/partition-labels/,true,,leetcode-hot100
climbing-stairs,70,爬楼梯,climbing-stairs,EASY,"Memoization,Math,Dynamic Programming",https://leetcode.cn/problems/climbing-stairs/,true,,leetcode-hot100
pascals-triangle,118,杨辉三角,pascals-triangle,EASY,"Array,Dynamic Programming",https://leetcode.cn/problems/pascals-triangle/,true,,leetcode-hot100
house-robber,198,打家劫舍,house-robber,MEDIUM,"Array,Dynamic Programming",https://leetcode.cn/problems/house-robber/,true,,leetcode-hot100
perfect-squares,279,完全平方数,perfect-squares,MEDIUM,"Breadth-First Search,Math,Dynamic Programming,背包问题,完全背包",https://leetcode.cn/problems/perfect-squares/,true,,leetcode-hot100
